M_Col1,M_Str1,M_Col2,M_Str2,AndyView
ExpCode,5170,Ref1,RPE07536,Travel:AndyM:AGU2009
ExpCode,5170,Ref1,JE023564,Travel:AdamS:Nov2009
ExpCode,5170,Ref1,RPE07162,Travel:CyndyC:RVTEC2009
ExpCode,5170,Ref1,RP062318,Travel:CyndyC:RVTEC2009
ExpCode,5170,Ref1,RP062319,Travel:CyndyC:RVTEC2009
ExpCode,5170,Ref1,RP062439,Travel:AndyM:RVTEC2009
ExpCode,5170,Ref1,RP062440,Travel:AndyM:RVTEC2009
ExpCode,5170,Ref1,RP062441,Travel:AndyM:RVTEC2009
ExpCode,5170,Ref1,RP062442,Travel:AndyM:RVTEC2009
ExpCode,5170,Ref1,RP062443,Travel:AndyM:AGU2009
ExpCode,5170,Ref1,RP062440,Travel:AndyM:AGU2009
ExpCode,5170,Ref1,RPE07536,Travel:AndyM:AGU2010
ExpCode,5170,Ref1,RP063787,Travel:AndyM:Feb2010
ExpCode,5170,Ref1,RP063788,Travel:AndyM:Feb2010
ExpCode,5170,Ref1,RP063789,Travel:AndyM:Feb2010
ExpCode,5170,Ref1,RP062440,Travel:AndyM:Feb2010
ExpCode,5171,Desc,JFUTR,Travel:JoeF:SeminarFee
ExpCode,5180,Desc,AMAFF,Travel:AndyM
ExpCode,5510,PEID,05550,Salary:TA:AndyM
,,,,
,,,,
